EISSN,Title,JCR Abbr,ISO Abbr,Med Abbr
1525-2191,AMERICAN JOURNAL OF PATHOLOGY,AM J PATHOL,Am. J. Pathol.,Am J Pathol
1553-6467,AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,AM J PHARM EDUC,Am. J. Pharm. Educ.,Am J Pharm Educ
1879-1891,AMERICAN JOURNAL OF OPHTHALMOLOGY,AM J OPHTHALMOL,Am. J. Ophthalmol.,Am J Ophthalmol
1943-7676,AMERICAN JOURNAL OF OCCUPATIONAL THERAPY,AM J OCCUP THER,Am. J. Occup. Ther.,Am J Occup Ther
1096-8644,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,AM J PHYS ANTHROPOL,Am. J. Phys. Anthropol.,Am J Phys Anthropol
1535-7228,AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,Am. J. Psychiat.,Am J Psychiatry
1939-0025,AMERICAN JOURNAL OF ORTHOPSYCHIATRY,AM J ORTHOPSYCHIAT,Am. J. Orthopsychiatr.,Am J Orthopsychiatry
1541-0048,AMERICAN JOURNAL OF PUBLIC HEALTH,AM J PUBLIC HEALTH,Am. J. Public Health,Am J Public Health
1879-1883,AMERICAN JOURNAL OF SURGERY,AM J SURG,Am. J. Surg.,Am J Surg
1939-8298,AMERICAN JOURNAL OF PSYCHOLOGY,AM J PSYCHOL,Am. J. Psychol.,Am J Psychol
1943-5681,AMERICAN JOURNAL OF VETERINARY RESEARCH,AM J VET RES,Am. J. Vet. Res.,Am J Vet Res
1545-2786,AMERICAN SCIENTIST,AM SCI,Am. Scientist,Am Sci
1935-990X,AMERICAN PSYCHOLOGIST,AM PSYCHOL,Am. Psychol.,Am Psychol
1555-9823,AMERICAN SURGEON,AM SURGEON,Am. Surg.,Am Surg
1552-3365,AMERICAN JOURNAL OF SPORTS MEDICINE,AM J SPORT MED,Am. J. Sports Med.,Am J Sports Med
1365-2044,ANAESTHESIA,ANAESTHESIA,Anaesthesia,Anaesthesia
1678-2690,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,AN ACAD BRAS CIENC,An. Acad. Bras. Cienc.,An Acad Bras Cienc
1806-4841,ANAIS BRASILEIROS DE DERMATOLOGIA,AN BRAS DERMATOL,An. Brasil. Dermatol.,An Bras Dermatol
1432-055X,ANAESTHESIST,ANAESTHESIST,Anaesthesist,Anaesthesist
1873-4324,ANALYTICA CHIMICA ACTA,ANAL CHIM ACTA,Anal. Chim. Acta,Anal Chim Acta
1532-0979,AMERICAN JOURNAL OF SURGICAL PATHOLOGY,AM J SURG PATHOL,Am. J. Surg. Pathol.,Am J Surg Pathol
1537-5390,AMERICAN JOURNAL OF SOCIOLOGY,AM J SOCIOL,Am. J. Sociol.,AJS
1096-0309,ANALYTICAL BIOCHEMISTRY,ANAL BIOCHEM,Anal. Biochem.,Anal Biochem
1520-6882,ANALYTICAL CHEMISTRY,ANAL CHEM,Anal. Chem.,Anal Chem
1364-5528,ANALYST,ANALYST,Analyst,Analyst
1476-1645,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,AM J TROP MED HYG,Am. J. Trop. Med. Hyg.,Am J Trop Med Hyg
1939-8271,AMERICAN SOCIOLOGICAL REVIEW,AM SOCIOL REV,Am. Sociol. Rev.,Am Sociol Rev
1448-0271,ANAESTHESIA AND INTENSIVE CARE,ANAESTH INTENS CARE,Anaesth. Intensive Care,Anaesth Intensive Care
1528-1175,ANESTHESIOLOGY,ANESTHESIOLOGY,Anesthesiology,Anesthesiology
1439-0264,ANATOMIA HISTOLOGIA EMBRYOLOGIA,ANAT HISTOL EMBRYOL,Anat. Histol. Embryol.,Anat Histol Embryol
1527-3296,AMERICAN JOURNAL OF INFECTION CONTROL,AM J INFECT CONTROL,Am. J. Infect. Control,Am J Infect Control
1744-7348,ANNALS OF APPLIED BIOLOGY,ANN APPL BIOL,Ann. Appl. Biol.,Ann Appl Biol
1945-7103,ANGLE ORTHODONTIST,ANGLE ORTHOD,Angle Orthod.,Angle Orthod
1940-1574,ANGIOLOGY,ANGIOLOGY,Angiology,Angiology
1439-0272,ANDROLOGIA,ANDROLOGIA,Andrologia,Andrologia
1097-6760,ANNALS OF EMERGENCY MEDICINE,ANN EMERG MED,Ann. Emerg. Med.,Ann Emerg Med
1521-3773,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEW CHEM INT EDIT,Angew. Chem.-Int. Edit.,Angew Chem Int Ed Engl
1950-6112,ANNALES DE BIOLOGIE CLINIQUE,ANN BIOL CLIN-PARIS,Ann. Biol. Clin.,Ann Biol Clin (Paris)
1365-2052,ANIMAL GENETICS,ANIM GENET,Anim. Genet.,Anim Genet
1573-9686,ANNALS OF BIOMEDICAL ENGINEERING,ANN BIOMED ENG,Ann. Biomed. Eng.,Ann Biomed Eng
1464-5033,ANNALS OF HUMAN BIOLOGY,ANN HUM BIOL,Ann. Hum. Biol.,Ann Hum Biol
1768-319X,Annales de Chirurgie Plastique Esthetique,ANN CHIR PLAST ESTH,Ann. Chir. Plast. Esthet.,Ann Chir Plast Esthet
1469-1809,ANNALS OF HUMAN GENETICS,ANN HUM GENET,Ann. Hum. Genet.,Ann Hum Genet
1791-7530,ANTICANCER RESEARCH,ANTICANCER RES,Anticancer Res.,Anticancer Res
1550-8080,ANNALS OF CLINICAL AND LABORATORY SCIENCE,ANN CLIN LAB SCI,Ann. Clin. Lab. Sci.,Ann Clin Lab Sci
1938-2901,ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,ANN ENTOMOL SOC AM,Ann. Entomol. Soc. Am.,Ann Entomol Soc Am
1421-9697,ANNALS OF NUTRITION AND METABOLISM,ANN NUTR METAB,Ann. Nutr. Metab.,Ann Nutr Metab
2213-3941,ANNALES D ENDOCRINOLOGIE,ANN ENDOCRINOL-PARIS,Ann Endocrinol.,Ann Endocrinol (Paris)
2384-8553,ANNALI DELL ISTITUTO SUPERIORE DI SANITA,ANN I SUPER SANITA,Ann. Ist. Super. Sanita,Ann Ist Super Sanita
1749-6632,ANNALS OF THE NEW YORK ACADEMY OF SCIENCES,ANN NY ACAD SCI,Ann. N.Y. Acad. Sci.,Ann N Y Acad Sci
1943-572X,ANNALS OF OTOLOGY RHINOLOGY AND LARYNGOLOGY,ANN OTO RHINOL LARYN,Ann. Otol. Rhinol. Laryngol.,Ann Otol Rhinol Laryngol
1536-3708,ANNALS OF PLASTIC SURGERY,ANN PLAS SURG,Ann. Plast. Surg.,Ann Plast Surg
1468-2060,ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,Ann. Rheum. Dis.,Ann Rheum Dis
1758-1001,ANNALS OF CLINICAL BIOCHEMISTRY,ANN CLIN BIOCHEM,Ann. Clin. Biochem.,Ann Clin Biochem
1539-3704,ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,Ann. Intern. Med.,Ann Intern Med
1552-6259,ANNALS OF THORACIC SURGERY,ANN THORAC SURG,Ann. Thorac. Surg.,Ann Thorac Surg
1478-7083,ANNALS OF THE ROYAL COLLEGE OF SURGEONS OF ENGLAND,ANN ROY COLL SURG,Ann. R. Coll. Surg. Engl.,Ann R Coll Surg Engl
1528-1140,ANNALS OF SURGERY,ANN SURG,Ann. Surg.,Ann Surg
2239-253X,Annali Italiani di Chirurgia,ANN ITAL CHIR,Ann. Ital. Chir.,Ann Ital Chir
1545-4509,Annual Review of Biochemistry,ANNU REV BIOCHEM,Annu. Rev. Biochem..,Annu Rev Biochem
1955-2580,ANNEE PSYCHOLOGIQUE,ANN PSYCHOL,Annee Psychol.,Annee Psychol
1545-2948,Annual Review of Genetics,ANNU REV GENET,Annu. Rev. Genet.,Annu Rev Genet
1545-4487,Annual Review of Entomology,ANNU REV ENTOMOL,Annu. Rev. Entomol.,Annu Rev Entomol
1545-4126,Annual Review of Neuroscience,ANNU REV NEUROSCI,Annu. Rev. Neurosci.,Annu Rev Neurosci
1531-8249,ANNALS OF NEUROLOGY,ANN NEUROL,Ann. Neurol.,Ann Neurol
1545-326X,Annual Review of Medicine,ANNU REV MED,Annu. Rev. Med.,Annu Rev Med
1098-6596,ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,ANTIMICROB AGENTS CH,Antimicrob. Agents Chemother.,Antimicrob Agents Chemother
1545-3251,Annual Review of Microbiology,ANNU REV MICROBIOL,Annu. Rev. Microbiol.,Annu Rev Microbiol
1550-5014,ADVANCES IN NURSING SCIENCE,ADV NURS SCI,Adv. Nurs. Sci.,ANS Adv Nurs Sci
1872-9096,ANTIVIRAL RESEARCH,ANTIVIR RES,Antiviral Res.,Antiviral Res
1545-1585,Annual Review of Physiology,ANNU REV PHYSIOL,Annu. Rev. Physiol.,Annu Rev Physiol
1572-9699,ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,ANTON LEEUW INT J G,Antonie Van Leeuwenhoek,Antonie Van Leeuwenhoek
1545-4304,Annual Review of Pharmacology and Toxicology,ANNU REV PHARMACOL,Annu. Rev. Pharmacol. Toxicol.,Annu Rev Pharmacol Toxicol
1545-2085,Annual Review of Psychology,ANNU REV PSYCHOL,Annu. Rev. Psychol,Annu Rev Psychol
1098-5336,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,APPL ENVIRON MICROB,Appl. Environ. Microbiol.,Appl Environ Microbiol
1532-8201,APPLIED NURSING RESEARCH,APPL NURS RES,Appl. Nurs. Res.,Appl Nurs Res
1668-3501,Archivos Argentinos de Pediatria,ARCH ARGENT PEDIATR,Arch. Argent. Pediatr.,Arch Argent Pediatr
1095-8304,APPETITE,APPETITE,Appetite,Appetite
1559-0291,APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY,APPL BIOCHEM BIOTECH,Appl. Biochem. Biotechnol.,Appl Biochem Biotechnol
1096-0384,ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,ARCH BIOCHEM BIOPHYS,Arch. Biochem. Biophys.,Arch Biochem Biophys
1432-069X,ARCHIVES OF DERMATOLOGICAL RESEARCH,ARCH DERMATOL RES,Arch. Dermatol. Res.,Arch Dermatol Res
1468-2044,ARCHIVES OF DISEASE IN CHILDHOOD,ARCH DIS CHILD,Arch. Dis. Child.,Arch Dis Child
1432-0703,ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,ARCH ENVIRON CON TOX,Arch. Environ. Contam. Toxicol.,Arch Environ Contam Toxicol
1532-8228,ARCHIVES OF PSYCHIATRIC NURSING,ARCH PSYCHIAT NURS,Arch. Psychiatr. Nurs.,Arch Psychiatr Nurs
1576-8260,ARCHIVOS ESPANOLES DE UROLOGIA,ARCH ESP UROL,Arch. Esp. Urol.,Arch Esp Urol
1879-1506,ARCHIVES OF ORAL BIOLOGY,ARCH ORAL BIOL,Arch. Oral Biol.,Arch Oral Biol
1432-0711,ARCHIVES OF GYNECOLOGY AND OBSTETRICS,ARCH GYNECOL OBSTET,Arch. Gynecol. Obstet.,Arch Gynecol Obstet
1543-2165,ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,ARCH PATHOL LAB MED,Arch. Pathol. Lab. Med.,Arch Pathol Lab Med
2309-5806,ARCHIVOS LATINOAMERICANOS DE NUTRICION,ARCH LATINOAM NUTR,Arch. Latinoam. Nutr.,Arch Latinoam Nutr
1872-6976,ARCHIVES OF GERONTOLOGY AND GERIATRICS,ARCH GERONTOL GERIAT,Arch. Gerontol. Geriatr.,Arch Gerontol Geriatr
1432-072X,ARCHIVES OF MICROBIOLOGY,ARCH MICROBIOL,Arch. Microbiol.,Arch Microbiol
1532-821X,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,ARCH PHYS MED REHAB,Arch. Phys. Med. Rehabil.,Arch Phys Med Rehabil
1521-4184,ARCHIV DER PHARMAZIE,ARCH PHARM,Arch. Pharm.,Arch Pharm (Weinheim)
1678-4170,Arquivos Brasileiros de Cardiologia,ARQ BRAS CARDIOL,Arq. Bras. Cardiol.,Arq Bras Cardiol
1573-2800,ARCHIVES OF SEXUAL BEHAVIOR,ARCH SEX BEHAV,Arch. Sex. Behav.,Arch Sex Behav
1848-6312,Arhiv za Higijenu Rada i Toksikologiju-Archives of Industrial Hygiene and Toxicology,ARH HIG RADA TOKSIKO,Arh. Hig. Rada. Toksikol.,Arh Hig Rada Toksikol
1661-4917,ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS,ARCH IMMUNOL THER EX,Arch. Immunol. Ther. Exp.,Arch Immunol Ther Exp (Warsz)
1432-0738,ARCHIVES OF TOXICOLOGY,ARCH TOXICOL,Arch. Toxicol.,Arch Toxicol
1678-4227,ARQUIVOS DE NEURO-PSIQUIATRIA,ARQ NEURO-PSIQUIAT,Arq. Neuro-Psiquiatr.,Arq Neuropsiquiatr
1432-8798,ARCHIVES OF VIROLOGY,ARCH VIROL,Arch. Virol.,Arch Virol
1678-2925,ARQUIVOS BRASILEIROS DE OFTALMOLOGIA,ARQ BRAS OFTALMOL,Arq. Bras. Oftalmol.,Arq Bras Oftalmol
1525-1594,ARTIFICIAL ORGANS,ARTIF ORGANS,Artif. Organs,Artif Organs
1479-828X,AUSTRALIAN & NEW ZEALAND JOURNAL OF OBSTETRICS & GYNAECOLOGY,AUST NZ J OBSTET GYN,Aust. N. Z. J. Obstet. Gynaecol.,Aust N Z J Obstet Gynaecol
1751-0813,AUSTRALIAN VETERINARY JOURNAL,AUST VET J,Aust. Vet. J.,Aust Vet J
1879-5447,AUSTRALASIAN PHYSICAL & ENGINEERING SCIENCES IN MEDICINE,AUSTRALAS PHYS ENG S,Australas. Phys. Eng. Sci. Med.,Australas Phys Eng Sci Med
1879-1484,ATHEROSCLEROSIS,ATHEROSCLEROSIS,Atherosclerosis,Atherosclerosis
1834-7819,AUSTRALIAN DENTAL JOURNAL,AUST DENT J,Aust. Dent. J.,Aust Dent J
1449-8944,Australian Health Review,AUST HEALTH REV,Aust. Health Rev.,Aust Health Rev
1879-1476,AURIS NASUS LARYNX,AURIS NASUS LARYNX,Auris Nasus Larynx,Auris Nasus Larynx
1440-0960,AUSTRALASIAN JOURNAL OF DERMATOLOGY,AUSTRALAS J DERMATOL,Australas. J. Dermatol.,Australas J Dermatol
1435-1803,BASIC RESEARCH IN CARDIOLOGY,BASIC RES CARDIOL,Basic Res. Cardiol.,Basic Res Cardiol
1440-1614,AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY,AUST NZ J PSYCHIAT,Aust. N. Z. J. Psych.,Aust N Z J Psychiatry
1938-4351,AVIAN DISEASES,AVIAN DIS,Avian Dis.,Avian Dis
1552-4167,BEHAVIOR MODIFICATION,BEHAV MODIF,Behav. Modificat.,Behav Modif
1573-3297,BEHAVIOR GENETICS,BEHAV GENET,Behav. Genet.,Behav Genet
1439-0299,BERLINER UND MUNCHENER TIERARZTLICHE WOCHENSCHRIFT,BERL MUNCH TIERARZTL,Berliner Munchener Tierarztl. Wochenschr.,Berl Munch Tierarztl Wochenschr
1090-2104,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,BIOCHEM BIOPH RES CO,Biochem. Biophys. Res. Commun.,Biochem Biophys Res Commun
1873-622X,BEHAVIOUR RESEARCH AND THERAPY,BEHAV RES THER,Behav. Res. Ther.,Behav Res Ther
1573-4927,BIOCHEMICAL GENETICS,BIOCHEM GENET,Biochem. Genet.,Biochem Genet
1470-8728,BIOCHEMICAL JOURNAL,BIOCHEM J,Biochem. J.,Biochem J
1521-186X,BIOELECTROMAGNETICS,BIOELECTROMAGNETICS,Bioelectromagnetics,Bioelectromagnetics
1568-539X,BEHAVIOUR,BEHAVIOUR,Behaviour,Behaviour
1433-8491,EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,EUR ARCH PSY CLIN N,Eur. Arch. Psych. Clin. Neurosci.,Eur Arch Psychiatry Clin Neurosci
1096-9888,JOURNAL OF MASS SPECTROMETRY,J MASS SPECTROM,J. Mass Spectrom.,Biol Mass Spectrom
1879-1972,JOURNAL OF ADOLESCENT HEALTH,J ADOLESCENT HEALTH,J. Adolesc. Health,J Adolesc Health
1545-1569,CLEFT PALATE-CRANIOFACIAL JOURNAL,CLEFT PALATE-CRAN J,Cleft Palate-Craniofac. J.,Cleft Palate Craniofac J
1521-1878,BIOESSAYS,BIOESSAYS,Bioessays,Bioessays
1545-0848,JOURNAL OF ADDICTIVE DISEASES,J ADDICT DIS,J. Addict. Dis.,J Addict Dis
1488-2434,JOURNAL OF PSYCHIATRY & NEUROSCIENCE,J PSYCHIATR NEUROSCI,J. Psychiatry Neurosci.,J Psychiatry Neurosci
1557-3117,JOURNAL OF HEART AND LUNG TRANSPLANTATION,J HEART LUNG TRANSPL,J. Heart Lung Transplant.,J Heart Lung Transplant
1758-1052,INTERNATIONAL JOURNAL OF STD & AIDS,INT J STD AIDS,Int. J. STD AIDS,Int J STD AIDS
1557-7422,HUMAN GENE THERAPY,HUM GENE THER,Hum. Gene Ther.,Hum Gene Ther
1520-4995,BIOCHEMISTRY,BIOCHEMISTRY-US,Biochemistry,Biochemistry
1578-1852,ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA,ENFERM INFEC MICR CL,Enferm. Infec. Microbiol. Clin.,Enferm Infecc Microbiol Clin
1618-727X,JOURNAL OF DIGITAL IMAGING,J DIGIT IMAGING,J. Digit. Imaging,J Digit Imaging
1638-6183,BIOCHIMIE,BIOCHIMIE,Biochimie,Biochimie
1360-0451,AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV,AIDS CARE,Aids Care-Psychol. Socio-Med. Asp. Aids-Hiv,AIDS Care
